group,advertiser,landing,date,spend,hvu,cphq
组26 Surrender,HZM,/exp-app/scene/2034147121168449537,2026-04-22,7.23,0,
组27 performance,CHJ,/multisensory/sensory-immersion/4312-architecture-of-arousal,2026-04-22,7.81,6,1.30
组28 牛角,HNN,/exp-app/scene/1968161107381112833,2026-04-22,0.48,1,0.48
组29 性爱疗愈,HZM,/multisensory/sexual-wellness/1474-can-sex-truly-alleviate-pain,2026-04-22,20.33,2,10.16
组30 流汗男,HNN,/exp-app/scene/1967788094903078914,2026-04-22,11.11,0,
组32 confidence,CHJ,/multisensory/power-dynamics/4314-art-of-instrument-mastering-sensual-blowjob-power-dynamics?page=2,2026-04-22,8.12,6,1.35
组33 黑男,HNN,/exp-app/scene/2046070030933757953,2026-04-22,0.72,0,
组34 银发男,HNN,/ja/exp-app/scene/2014393955091804162,2026-04-22,8.8,6,1.47
组35 15 Ideas,CHJ,/multisensory/forbidden-fruit/4424-architecture-of-surrender-15-ideas-for-safe-sensual-self-bondage?page=2,2026-04-22,9.15,3,3.05
组36 女性高潮,HZM,/multisensory/womens-sexual-health/1541-how-to-tell-if-woman-has-truly-reached-orgasm-women-s-sexual?page=4,2026-04-22,7.69,14,0.55
组37 胸部高潮,HZM,/multisensory/kink-fetish/4687-mastering-nipple-play-how-to-build-sensual-pleasure-deeper-arousal?page=1,2026-04-22,29.65,12,2.47
组38 CRAVE AI,CHJ,/ai-sex-toys,2026-04-22,9.98,8,1.25
组39 解锁高潮,HNN,/zh/multisensory/power-dynamics/2746-unlocking-thrill-of-ruined-orgasms-guide-to-orgasm-control-and?page=6,2026-04-22,13.9,8,1.74
组41 Most positions,CHJ,/multisensory/most-positions,2026-04-22,12.03,2,6.01
组4 Viennese Oyster,CHJ,/multisensory/power-dynamics/3923-architecture-of-depth-mastering-viennese-oyster-position,2026-04-23,9.92,11,0.90
组5 30 Positions,CHJ,/multisensory/most-positions/4690-30-adventurous-sex-positions-to-explore-with-your-partner,2026-04-23,12.77,15,0.85
组7 The best intimacy,CHJ,/multisensory/kink-fetish/4689-mastering-anilingus-sensual-guide-to-rimming-pleasure,2026-04-23,10.51,3,3.50
组8 山间,HNN,scene/680577,2026-04-23,7.44,0,
组15 Power Shift,HZM,scene/922306,2026-04-23,13.56,0,
组17 18 Sensual,CHJ,/multisensory/kink-fetish/4686-18-sensual-couch-sex-ideas-to-make-intimate-moments-feel-closer?page=1,2026-04-23,12.55,18,0.70
组19 Top Predator's,HZM,scene/922306,2026-04-23,12.98,0,
组20 A Softer,CHJ,/multisensory/solo-pleasure/4763-pillow-humping-essentials-guide-to-solo-pleasure,2026-04-23,10.68,9,1.19
组22 Voyeurism,CHJ,/multisensory/voyeurism/735-seen-body-why-is-voyeurism,2026-04-23,18.98,1,18.98
组26 Surrender,HZM,/exp-app/scene/2034147121168449537,2026-04-23,7.78,2,3.89
组27 performance,CHJ,/multisensory/sensory-immersion/4312-architecture-of-arousal,2026-04-23,8.8,10,0.88
组29 性爱疗愈,HZM,/multisensory/sexual-wellness/1474-can-sex-truly-alleviate-pain,2026-04-23,22.99,1,22.99
组32 confidence,CHJ,/multisensory/power-dynamics/4314-art-of-instrument-mastering-sensual-blowjob-power-dynamics?page=2,2026-04-23,9.09,4,2.27
组34 银发男,HNN,/ja/exp-app/scene/2014393955091804162,2026-04-23,7.15,3,2.38
组35 15 Ideas,CHJ,/multisensory/forbidden-fruit/4424-architecture-of-surrender-15-ideas-for-safe-sensual-self-bondage?page=2,2026-04-23,8.22,10,0.82
组36 女性高潮,HZM,/multisensory/womens-sexual-health/1541-how-to-tell-if-woman-has-truly-reached-orgasm-women-s-sexual?page=4,2026-04-23,2.94,10,0.29
